,Review,label,label_p,cleaned
51686,I LIKE IT! but the only thing is that the guns are so hard to get and when you start the game can you at least give like 500 coins and diamonds?,-1,2,I LIKE IT but the only thing is that the gun are so hard to get and when you start the game can you at least give like 500 coin and diamond 
27778,Amazing game just make it a little bit easier to get coins and gems :),-1,2,Amazing game just make it a little bit easier to get coin and gem 
23158,You should buy it is fun,-1,0,You should buy it is fun 
59208,THE NEW UPDATE SUCK A LOTE IT WAS BETTER THAN NOW SOOOOOOOOOOO MUCH TIMES,-1,4,THE NEW UPDATE SUCK A LOTE IT WAS BETTER THAN NOW SOOOOOOOOOOO MUCH TIMES 
47707,The game sucks now with the update of gun levels,-1,0,The game suck now with the update of gun level 
32863,"Take for the hackers ban because i buy 5,000 gems and i got them then i buy guns and the next day is say your account had been block i hate this stupid game make something better",-1,0,Take for the hacker ban because i buy 5 000 gem and i got them then i buy gun and the next day is say your account had been block i hate this stupid game make something better 
7032,They need to fix the lag  This game always make me go back to my home screen and it says that pixel gun 3d stop running plz fix that,-1,0,They need to fix the lag This game always make me go back to my home screen and it say that pixel gun 3d stop running plz fix that 
29235,Plz plz make a fortnite game mod. Cause I can't play it on console and pixel gun would be a good game for a fortnit e mod,-1,2,Plz plz make a fortnite game mod Cause I can t play it on console and pixel gun would be a good game for a fortnit e mod 
32143,It needs a update that let's you trade guns and rag dolls and 3 person mode and more physics and more guns and more animations and more armor like pants I hope you can do this :),-1,0,It need a update that let s you trade gun and rag doll and 3 person mode and more physic and more gun and more animation and more armor like pant I hope you can do this 
59491,Used to love this game but i HATE the new update its terrible! I had really good guns but the new update nerfed them. And it used to NEVER glitch but with the new update almost every time i go in a game it crashes! PLEASE go back to the ols update the new one is BAD!,-1,2,Used to love this game but i HATE the new update it terrible I had really good gun but the new update nerfed them And it used to NEVER glitch but with the new update almost every time i go in a game it crash PLEASE go back to the ols update the new one is BAD 
40402,I really really need old theme song 😩,-1,0,I really really need old theme song 
28815,"Play tis wile lisening 2 miza reborn but criticizing that its impossible to get ANYTHING good out of lucky chests, could you make the chances better? I just barely missed the spark shark and flipped out. Fix that or get reported.",-1,2,Play ti wile lisening 2 miza reborn but criticizing that it impossible to get ANYTHING good out of lucky chest could you make the chance better I just barely missed the spark shark and flipped out Fix that or get reported 
54626,"Pretty good game, tho since this update where there are now a new set of weapon levels (not really since i think it was there last 2017) it makes it that most weapons are buffed and upgrading isn't necessarily used in this new level set...   Also you should make this game an wide screen support since some phones have an 19:8 aspect ratio.  Thanks for reading this :P",-1,2,Pretty good game tho since this update where there are now a new set of weapon level not really since i think it wa there last 2017 it make it that most weapon are buffed and upgrading isn t necessarily used in this new level set Also you should make this game an wide screen support since some phone have an 19 8 aspect ratio Thanks for reading this P 
41539,It's good but it's really hard to get in-game money,-1,0,It s good but it s really hard to get in game money 
6531,Its a great game but do u maybe think you could make it a bit easier to get new weapons because you spend months getting enough coins for a gun and if you dont like it then......,-1,4,Its a great game but do u maybe think you could make it a bit easier to get new weapon because you spend month getting enough coin for a gun and if you dont like it then 
8773,"Too many updates. Its like each update makes the game worse, in the newest update i cant even take off my armor. And now its telling me theres new content unlocked and i need to update but theres no update option in the play store!!",-1,2,Too many update Its like each update make the game worse in the newest update i cant even take off my armor And now it telling me there new content unlocked and i need to update but there no update option in the play store 
27378,I want my account back,-1,0,I want my account back 
3153,Very exellent gane! I was rhink is will make me boring,-1,2,Very exellent gane I wa rhink is will make me boring 
36840,I think it is a good game and there isbso much you can add into it like creating and customizing guns,-1,4,I think it is a good game and there isbso much you can add into it like creating and customizing gun 
19609,I think it's a good game and I just think that you should be able to get money and gems easier also I would say the controls need to be more various like.,-1,2,I think it s a good game and I just think that you should be able to get money and gem easier also I would say the control need to be more various like 
48537,Purposefully matches you with people who have to spend an upwards of $300 or more or the kid guns that actually kill which makes the game unfair and unbalanced to anybody who doesn't want to spend hundreds and hundreds and hundreds of dollars to actually be able to win,-1,0,Purposefully match you with people who have to spend an upwards of 300 or more or the kid gun that actually kill which make the game unfair and unbalanced to anybody who doesn t want to spend hundred and hundred and hundred of dollar to actually be able to win 
43736,I like this game but i love the old one where you dont need any armor or gems to buy weapons,-1,2,I like this game but i love the old one where you dont need any armor or gem to buy weapon 
25898,You made the game bad great job i lost all of my stuff i dont like this game is sucks,-1,0,You made the game bad great job i lost all of my stuff i dont like this game is suck 
46573,Its so bad and realy glitchy i hate it,-1,0,Its so bad and realy glitchy i hate it 
493,Stuck in first loading lol,-1,0,Stuck in first loading lol 
11965,Well this game has been my childhood game...played this for so long but when the new update came in...it says its not supported on my hardware...why is that so? :( Pls help me...i wanna play with my friend,-1,2,Well this game ha been my childhood game played this for so long but when the new update came in it say it not supported on my hardware why is that so Pls help me i wan na play with my friend 
48662,"Fix bugs, can't play with friends anymore, lowered level, coins, and took away guns for no reason",-1,4,Fix bug can t play with friend anymore lowered level coin and took away gun for no reason 
21612,"Dear creators, My old pixel gun account was lost. I want to bring back My pixel gun account. Please help me.",-1,0,Dear creator My old pixel gun account wa lost I want to bring back My pixel gun account Please help me 
1862,I love this game but make guns cost less coins.,-1,2,I love this game but make gun cost le coin 
22030,"Good game. I will give u an idea: add a gadget that makes you like a ghost , in other words, making possible pass through walls.",-1,2,Good game I will give u an idea add a gadget that make you like a ghost in other word making possible pas through wall 
55193,"This is amazing I love it, next update you should make the arms bend but not in heavy armor, in light armor.",-1,0,This is amazing I love it next update you should make the arm bend but not in heavy armor in light armor 
35461,its not ez to get coin anx gem.But its chaling so its ok i dont care if my wepon is weak its cool to play so i love it,-1,0,it not ez to get coin anx gem But it chaling so it ok i dont care if my wepon is weak it cool to play so i love it 
37665,It's a fun game but when I try to update it it just says downloading then it say I have to do it again and again,-1,2,It s a fun game but when I try to update it it just say downloading then it say I have to do it again and again 
1384,Please give me back my gems and coins cause when an additional file or udate comes their back to zero,-1,2,Please give me back my gem and coin cause when an additional file or udate come their back to zero 
6292,The game i god but it says i need to update but i dont have any update,-1,4,The game i god but it say i need to update but i dont have any update 
44648,Perfect game and give me 100000 coins and 10000 gems,-1,0,Perfect game and give me 100000 coin and 10000 gem 
55283,It's cool.  well why did you patch the gun glitch for sandbox?  we want it back plz it's also fun to do why a snowball or other stuff when you have guns?  RIP sandbox glitch:(,-1,4,It s cool well why did you patch the gun glitch for sandbox we want it back plz it s also fun to do why a snowball or other stuff when you have gun RIP sandbox glitch 
47812,its to freaky laggy and i liked the older version more then this peace of trash oh and can you add more spell books???,-1,0,it to freaky laggy and i liked the older version more then this peace of trash oh and can you add more spell book 
48291,YOU GUYS NEED TO STOP KICKING ME OUT WHEN I'M ABOUT TO WIN.😡😡😠😠,-1,2,YOU GUYS NEED TO STOP KICKING ME OUT WHEN I M ABOUT TO WIN 
8681,Yes now there other ways to get money,-1,0,Yes now there other way to get money 
30837,ITS PAY TO WIN,-1,2,ITS PAY TO WIN 
45669,PLS ADD ANOTHER CAMPAIGN WORLD PLLSSS,-1,2,PLS ADD ANOTHER CAMPAIGN WORLD PLLSSS 
25935,"I love the game.But since the last update(where u can lvl up easily at arena)was very good.I played alot at arena then reached lvl 38. But when somebody deleted my gorgeous PG3D...,i got back to lvl 31!!😭😭😭😭😭😭😭😭😭 Can u plz make the arena a place for players to lvl up again in the next update?then i will rate 5 stars.",-1,2,I love the game But since the last update where u can lvl up easily at arena wa very good I played alot at arena then reached lvl 38 But when somebody deleted my gorgeous PG3D i got back to lvl 31 Can u plz make the arena a place for player to lvl up again in the next update then i will rate 5 star 
57320,"It's very good I love it.it has a bunch of guns,skins, armor,and more¡!!!!!!",-1,0,It s very good I love it it ha a bunch of gun skin armor and more 
58346,"Pixel Gun is the best AGAIN! Well, Rilisoft, you guys did it again! Keep up as always! But, as always, this game has been ""all about the money"". Your work would have been perfect if only players abilities aren't divided by money. I mean, skills are no need when you buy OP stuff here for real currency.",-1,2,Pixel Gun is the best AGAIN Well Rilisoft you guy did it again Keep up a always But a always this game ha been all about the money Your work would have been perfect if only player ability aren t divided by money I mean skill are no need when you buy OP stuff here for real currency 
36464,I want to be able to turn my coin to gems,-1,0,I want to be able to turn my coin to gem 
11658,Played the game since the first update. Lags a little when I do matches now.,-1,2,Played the game since the first update Lags a little when I do match now 
60138,It's good but pixel gun company is desperate for money,-1,0,It s good but pixel gun company is desperate for money 
44412,"A pay to win tittle, but fun none the less.",-1,2,A pay to win tittle but fun none the le 
37050,I play it on my brothers phone and I got him up to level 21 and I completed the campaign,-1,0,I play it on my brother phone and I got him up to level 21 and I completed the campaign 
2096,3 stars coz when i play it says new content update but when checking there is no update this  has been going on for a long time and i cwnt play. RIP. Fix this and 5 stars thanks,-1,2,3 star coz when i play it say new content update but when checking there is no update this ha been going on for a long time and i cwnt play RIP Fix this and 5 star thanks 
52087,"It's a ""okay"" game, I think this for many reasons, these are the reasons    Cons- Game repeatedly closes out when a match ends.  It's actually impossible to get something out of the gift box other than coins or gems, I get it that it makes you buy more gifts, but it's kinda impossible to get anything  Pros-Challenging  A variety of players and modes  Not a lot of glitches  Fun",-1,0,It s a okay game I think this for many reason these are the reason Cons Game repeatedly close out when a match end It s actually impossible to get something out of the gift box other than coin or gem I get it that it make you buy more gift but it s kinda impossible to get anything Pros Challenging A variety of player and mode Not a lot of glitch Fun 
30165,This game is SAVAGE you need to get it!!!!!🔥🔥🔥🔥🔥,-1,2,This game is SAVAGE you need to get it 
27095,"I do think every thing of ghe month starting you should give all 100coins and 100 gems, if you do this u will be the best",-1,0,I do think every thing of ghe month starting you should give all 100coins and 100 gem if you do this u will be the best 
29658,"gThe new update killed the game no one plays on it anymore   Clan weapons are useless now in this update  The new map is terrible  Hackers and modders are everywhere(jbro,syn,zivo,proxy mods are some of their youtube channels I can careless if they make money from doing hacks and mods they helped kill this game)  The game is really glitchy  And im never playing this game again",-1,2,gThe new update killed the game no one play on it anymore Clan weapon are useless now in this update The new map is terrible Hackers and modders are everywhere jbro syn zivo proxy mod are some of their youtube channel I can careless if they make money from doing hack and mod they helped kill this game The game is really glitchy And im never playing this game again 
31381,It sucks,-1,0,It suck 
47700,"PLEASE FIX! Please fix this new update all of my frends have what said ""version mismatch"" but both mine and there game is up to date please help with this!",-1,1,PLEASE FIX Please fix this new update all of my frends have what said version mismatch but both mine and there game is up to date please help with this 
17259,This is too hard to earn gold and gems please improved this 🎮,-1,0,This is too hard to earn gold and gem please improved this 
59536,"For me, I played this game for a long time already . But weirdly, I bought a solar power cannon but it doesn't one shot in block crash. Also, the new champion guns which is just a copy of the old guns which is just more powerful than the original. This makes it boring. But overall, I quite good",-1,0,For me I played this game for a long time already But weirdly I bought a solar power cannon but it doesn t one shot in block crash Also the new champion gun which is just a copy of the old gun which is just more powerful than the original This make it boring But overall I quite good 
20947,I like the game a  lot but I think that after every time you get 15 or more kills or a win you should get A free spin from the lucky chest,-1,0,I like the game a lot but I think that after every time you get 15 or more kill or a win you should get A free spin from the lucky chest 
13723,I don't like that the update was massive 👎 It makes me Angry when I play but I've got better at the game and It's ok now but when I die it makes me so angry but that's the game...,-1,2,I don t like that the update wa massive It make me Angry when I play but I ve got better at the game and It s ok now but when I die it make me so angry but that s the game 
48056,"Hrllo,  Pixel Gun 3D, when you updated the game, my device has started lagging. It's a great game!",-1,0,Hrllo Pixel Gun 3D when you updated the game my device ha started lagging It s a great game 
40592,say if i was 4v1 and i had a free sniper i would destory them,-1,0,say if i wa 4v1 and i had a free sniper i would destory them 
10451,I oove it but i cant update so i delete the game😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,-1,0,I oove it but i cant update so i delete the game 
53402,"I spent 4,829 Ft for the game!!My profile is level 31 in the game with pro weapons!!Im saved my profile to facebook and google plus account!!Im downloaded the game a few minutes ago!!Im logged in with facebook and google play account,and my profile is not loaded!!!!Im played a lot of months with this game and now my profjle is gone!!PLEASE HELP ME!!!!!!",-1,2,I spent 4 829 Ft for the game My profile is level 31 in the game with pro weapon Im saved my profile to facebook and google plus account Im downloaded the game a few minute ago Im logged in with facebook and google play account and my profile is not loaded Im played a lot of month with this game and now my profjle is gone PLEASE HELP ME 
3651,This update Killed me whyyyy poxel gun nooooo,-1,2,This update Killed me whyyyy poxel gun nooooo 
53236,Please add battle royale,-1,0,Please add battle royale 
10080,U. COPY EVERTHING I HOPE U GET COPYRIGHT,-1,0,U COPY EVERTHING I HOPE U GET COPYRIGHT 
49074,Pixel gun company i lost 150 gems and i need dhem back pls i bot a legend dary gun but hven it updaite it vas gon so i need it now pls,-1,2,Pixel gun company i lost 150 gem and i need dhem back pls i bot a legend dary gun but hven it updaite it va gon so i need it now pls 
29473,ni har gjort ett awesome game. Men... 1. U should make so u can sell guns for a lower price AND. Make so it does not lag so much. Honor 7. One last thing. A LOOOOOOONG time ago. U had a orange gun. Lika a machine gun. Were its that. Please ad it agin. Also u shloud make a brand new gamemode or a new game with battleroyale like PUBG. That would be amazing,-1,2,ni har gjort ett awesome game Men 1 U should make so u can sell gun for a lower price AND Make so it doe not lag so much Honor 7 One last thing A LOOOOOOONG time ago U had a orange gun Lika a machine gun Were it that Please ad it agin Also u shloud make a brand new gamemode or a new game with battleroyale like PUBG That would be amazing 
9311,The reason I am giving it one star is bc my game isn't working properly and I ask that you will fix it,-1,0,The reason I am giving it one star is bc my game isn t working properly and I ask that you will fix it 
3803,The game is a waste of space! The control layout is horrible The guns suckfor some reason the area damage radius is extremely short! Some of the guns aren't even worth their price The armor is horrible Even the background prices are too expensive for what they do! And there are so many hackers! Please! Fix the game.,-1,0,The game is a waste of space The control layout is horrible The gun suckfor some reason the area damage radius is extremely short Some of the gun aren t even worth their price The armor is horrible Even the background price are too expensive for what they do And there are so many hacker Please Fix the game 
30701,You putted them back again thank you! 5 stars now! Also the new gun is so fun thanks so much!!,-1,0,You putted them back again thank you 5 star now Also the new gun is so fun thanks so much 
35270,It's a cool and an awesome  game but why dose some players don't have armory in sandbox and battles pls fix that cuz it's really hard to chage,-1,0,It s a cool and an awesome game but why dose some player don t have armory in sandbox and battle pls fix that cuz it s really hard to chage 
49620,"Great game.But,pixel gun 3d creators,when I was gonna buy an exoskeleton I had to pay money.Can you please fix that and instead just only let us buy exoskeletons with ONLY the gears or pieces? If you do this,I'll give you 🌟🌟🌟🌟🌟",-1,0,Great game But pixel gun 3d creator when I wa gon na buy an exoskeleton I had to pay money Can you please fix that and instead just only let u buy exoskeleton with ONLY the gear or piece If you do this I ll give you 
15010,E bom,-1,0,E bom 
60328,The game is lagging alot. Can you guys please fix it,-1,2,The game is lagging alot Can you guy please fix it 
14688,Maybe add.... Oh i dunno..... Maybe a home for you to build? Like a FRIENDLY place in the game for those people who hate violince? This is not a hate note i just really want it. Sorry...,-1,0,Maybe add Oh i dunno Maybe a home for you to build Like a FRIENDLY place in the game for those people who hate violince This is not a hate note i just really want it Sorry 
10774,"I loved this game too much , i also like is that progress can be saved BUT I HATED WHEN I TOOK SO HARD TO JUST GET 68 GEMS AND THEY ARE NOT SAVED WHEN EVER MY DAD UNINSTALLS IT MAN I HATE WHEN PG3D DO NOT SAVE MY COINS AND GEMS WHEN WHEN EVER SOMEONE UNINSTALLS IT 😡 GIVE ME BACK MY 68 GEMS . MY NAME IS GamingDelfy ,HOPE U READ THIS I AM SO MAD 😤 sorry this is not a hate note , this is a WARNING note . People dont like progress being deleted . I loved yur game anyways so (°~°)",-1,2,I loved this game too much i also like is that progress can be saved BUT I HATED WHEN I TOOK SO HARD TO JUST GET 68 GEMS AND THEY ARE NOT SAVED WHEN EVER MY DAD UNINSTALLS IT MAN I HATE WHEN PG3D DO NOT SAVE MY COINS AND GEMS WHEN WHEN EVER SOMEONE UNINSTALLS IT GIVE ME BACK MY 68 GEMS MY NAME IS GamingDelfy HOPE U READ THIS I AM SO MAD sorry this is not a hate note this is a WARNING note People dont like progress being deleted I loved yur game anyways so 
50712,This is great if it save my old account,-1,0,This is great if it save my old account 
43273,Is a good game just wish that it was easy to get gems and money to get better guns,-1,2,Is a good game just wish that it wa easy to get gem and money to get better gun 
12183,great game but why does it need so much storage,-1,2,great game but why doe it need so much storage 
51668,Love the updates but takes up a lot of storage but you should get this game,-1,4,Love the update but take up a lot of storage but you should get this game 
18109,A      mazing how much they the make me smile,-1,0,A mazing how much they the make me smile 
11711,Couldn't get past the first screen after it said pixel gun company or something like that. I waited on the screen with 4 people fighting for almost 3 hours I don't know what to do,-1,1,Couldn t get past the first screen after it said pixel gun company or something like that I waited on the screen with 4 people fighting for almost 3 hour I don t know what to do 
17655,Guys i love this game but i got an idea if u are gone until tommorow then they should add the chests stack up to 2 or 3 if u didn't open it the last day.i hope u like my suggestion plz make it real and bring back the old guns like big daddy the cannon!,-1,4,Guys i love this game but i got an idea if u are gone until tommorow then they should add the chest stack up to 2 or 3 if u didn t open it the last day i hope u like my suggestion plz make it real and bring back the old gun like big daddy the cannon 
22622,"Every update, you lose all your weapons and gear. And full of online daters. Would be a better game if without the greedy developers.",-1,0,Every update you lose all your weapon and gear And full of online daters Would be a better game if without the greedy developer 
17669,It's amazing game but hard to control  and is hard to get new weapons but overall 4.5 Starz,-1,2,It s amazing game but hard to control and is hard to get new weapon but overall 4 5 Starz 
18938,I had 185 coins and then the up date Comes in and now I don't it got ride of it and gave me nothing I so mad now when I level up I won't be able to have the best gun,-1,0,I had 185 coin and then the up date Comes in and now I don t it got ride of it and gave me nothing I so mad now when I level up I won t be able to have the best gun 
16467,I can downloaded it,-1,0,I can downloaded it 
56473,Lost All my coins and diamonds and my league! I was almost the best league and thanks to this stupid update ive lost everything accept my guns and animals! I'm level 23 and I have now 0 trophies! Please help and I'll rate it 5 again.,-1,3,Lost All my coin and diamond and my league I wa almost the best league and thanks to this stupid update ive lost everything accept my gun and animal I m level 23 and I have now 0 trophy Please help and I ll rate it 5 again 
22047,Well it's not the same as before...this new gun level sucks....i didn't like the armor update how can a low level kill a max armor so fast i mean it's a waist of time to max armor now...the guns a waist of gems to the ones that bought it before the update...you practically made people quit from what i noticed...no matches found....lol kinda sucks now and reinstalling it back after sometime just isn't worth playing again.....RIP Pixel Gun 3D....,-1,0,Well it s not the same a before this new gun level suck i didn t like the armor update how can a low level kill a max armor so fast i mean it s a waist of time to max armor now the gun a waist of gem to the one that bought it before the update you practically made people quit from what i noticed no match found lol kinda suck now and reinstalling it back after sometime just isn t worth playing again RIP Pixel Gun 3D 
57341,Well you need to change the lucky chest because it's fuckt up you only get coins or diamonds but only 3 coins and 3 diamonds Change it pls,-1,2,Well you need to change the lucky chest because it s fuckt up you only get coin or diamond but only 3 coin and 3 diamond Change it pls 
22738,It takes to much space it's not even worth it so anyone looking at this you have been warned IT TAKES TO MUCH SPACE,-1,0,It take to much space it s not even worth it so anyone looking at this you have been warned IT TAKES TO MUCH SPACE 
19740,Make it more lively,-1,0,Make it more lively 
58893,Loved every bit of it,-1,0,Loved every bit of it 
30048,This game is stupid,-1,0,This game is stupid 
10829,"Horrible.  When you accidentally leave and you come back, it reconnects you to the room but you lose all your kills.  Why do you need to lose trophies when you leave a match? That's so silly.  HORRIBLE GAME.  Not recommended at all.  Also very stressing and other people have overpowered guns.",-1,2,Horrible When you accidentally leave and you come back it reconnects you to the room but you lose all your kill Why do you need to lose trophy when you leave a match That s so silly HORRIBLE GAME Not recommended at all Also very stressing and other people have overpowered gun 
49883,"I love it personally, the only issue is our wi-fi, so can't do much of the stuff.",-1,0,I love it personally the only issue is our wi fi so can t do much of the stuff 
33187,Because on my dad's phone I have pixel gun 3d it is so funny I killin people like a lot,-1,0,Because on my dad s phone I have pixel gun 3d it is so funny I killin people like a lot 
7896,Its amazing but you guys should add trading,-1,0,Its amazing but you guy should add trading 
52441,i dont thnk its that great cause theres a lag were it wont let me move if ur the oner of this game please help meeee!!!!!!!!!but really i loveeeeeee  iiiiiitttttttttt,-1,0,i dont thnk it that great cause there a lag were it wont let me move if ur the oner of this game please help meeee but really i loveeeeeee iiiiiitttttttttt 
57932,This game is so cool you get guns when you buy the game for free and you can kill enemies there's mini guns shot guns desert eagle and dual weapons,-1,3,This game is so cool you get gun when you buy the game for free and you can kill enemy there s mini gun shot gun desert eagle and dual weapon 
26340,Add in some new armour,-1,0,Add in some new armour 
12323,I open the game it doesn't load or anything I've been waiting for 17 minutes and stayed on the same screen fix it please.,-1,1,I open the game it doesn t load or anything I ve been waiting for 17 minute and stayed on the same screen fix it please 
54176,I deleted the game and downloaded it again after some time after the update and it didn't save my progress,-1,3,I deleted the game and downloaded it again after some time after the update and it didn t save my progress 
27865,The spawns need sorting,-1,0,The spawn need sorting 
38454,New maps are alright but clan making is awsome made on with frei ds,-1,0,New map are alright but clan making is awsome made on with frei d 
11516,The new update sucks the shotgun Mingun I would like for you to nerf it please and the champion anti-hero rifle,-1,2,The new update suck the shotgun Mingun I would like for you to nerf it please and the champion anti hero rifle 
51554,"I miss the old updates where there's no amour, no gems, no pets and no trophys. Well gg to Pixel Gun 3D",-1,0,I miss the old update where there s no amour no gem no pet and no trophy Well gg to Pixel Gun 3D 
7991,Please add VIP perk than I want to buy in game purchase,-1,2,Please add VIP perk than I want to buy in game purchase 
58798,"I keep getting banned for ""cheating"" just because I have 15K coins. I really want to play :(",-1,2,I keep getting banned for cheating just because I have 15K coin I really want to play 
27973,I like how the wepeans are designed and how the skins were designed,-1,0,I like how the wepeans are designed and how the skin were designed 
50894,"its extremely annoying, its pay to win now disrespecting old players. The creators only care about money from the game now, they aren't even creative with the guns anymore. Everything is also gems now. 😡",-1,2,it extremely annoying it pay to win now disrespecting old player The creator only care about money from the game now they aren t even creative with the gun anymore Everything is also gem now 
52800,Great apps!,-1,0,Great apps 
24038,Well its a good game but add more skins and modes,-1,2,Well it a good game but add more skin and mode 
54103,Make it more compatible with the device,-1,0,Make it more compatible with the device 
21070,Beat game but the guns should be a lower price  and when your get eggs plz make it so we don't get the same pets every time ok,-1,0,Beat game but the gun should be a lower price and when your get egg plz make it so we don t get the same pet every time ok 
8323,Make so you can return guns,-1,0,Make so you can return gun 
54361,It's little laggy but it's you killed the enemy and reconnect I hate this a little bit but I'm enjoying it but I'm the big big fan of pixel gun 3d,-1,0,It s little laggy but it s you killed the enemy and reconnect I hate this a little bit but I m enjoying it but I m the big big fan of pixel gun 3d 
30074,This is a good game you should add multiplayer in campaign:) anyways good work on a piece of art keep up the good work thanks for the game.,-1,4,This is a good game you should add multiplayer in campaign anyways good work on a piece of art keep up the good work thanks for the game 
54929,"It's awesome, but I miss helmets. Add them back please",-1,2,It s awesome but I miss helmet Add them back please 
45364,The game has great grafficsbut but it lags a slight little bit.,-1,2,The game ha great grafficsbut but it lag a slight little bit 
39415,"I really love the game it has good graphics, good gameplay, Awesome weapons and all,but please in your next update make the wyvern op again i really love the gun but when the new update came its not op anymore, not just the wyvern but some other weapons are nerfed too so yeah i will rate the game 5 stars because im hoping in the next update you will bring back the good op wyvern that many people loved....",-1,2,I really love the game it ha good graphic good gameplay Awesome weapon and all but please in your next update make the wyvern op again i really love the gun but when the new update came it not op anymore not just the wyvern but some other weapon are nerfed too so yeah i will rate the game 5 star because im hoping in the next update you will bring back the good op wyvern that many people loved 
55033,LOVE IT!!! You should add magic spells or sum'in for the other hand!,-1,0,LOVE IT You should add magic spell or sum in for the other hand 
11512,I like it but please add more gadgets,-1,0,I like it but please add more gadget 
28690,The game keeps crashing i was on wave 17 and all of a sudden it crashed and i lost all the progress except the coins that just pisses me off so plz fix it.,-1,1,The game keep crashing i wa on wave 17 and all of a sudden it crashed and i lost all the progress except the coin that just piss me off so plz fix it 
46786,Outrageously unbalanced. Just terrible gameplay.,-1,0,Outrageously unbalanced Just terrible gameplay 
27174,Great game just make it easier to get money,-1,2,Great game just make it easier to get money 
35491,MORE WEPONS CAN U MAKE ME HAVE ENOUGH GEMS TO BUY EXPENSIXVE STUFF PLS,-1,2,MORE WEPONS CAN U MAKE ME HAVE ENOUGH GEMS TO BUY EXPENSIXVE STUFF PLS 
48971,Please help my coins keep on dissapering every time I disconnect,-1,2,Please help my coin keep on dissapering every time I disconnect 
3097,"I already update it and still won't let me play, if you fixed it, i will give back five stars.",-1,4,I already update it and still won t let me play if you fixed it i will give back five star 
5402,"I'm sorry but you, creators, ruined the game. It was amazing but now it is terrible. The graphics are great, GamePlay is ok, controls are easy, but having to purchase things to win is just bad. Please bring back the old pixel gun 3D. #2015 Pixel Gun 3D",-1,0,I m sorry but you creator ruined the game It wa amazing but now it is terrible The graphic are great GamePlay is ok control are easy but having to purchase thing to win is just bad Please bring back the old pixel gun 3D 2015 Pixel Gun 3D 
24414,"U need to control people that hack this game, I'm tired of it. Hate having to fight someone named hacked sniper, or unstoppable hacker. All true names.",-1,2,U need to control people that hack this game I m tired of it Hate having to fight someone named hacked sniper or unstoppable hacker All true name 
47764,I love this game so I much I have it on my other phone I do 10/10,-1,0,I love this game so I much I have it on my other phone I do 10 10 
15110,its ok it takes forever to download and it is pretty slow.,-1,4,it ok it take forever to download and it is pretty slow 
24186,"This game is broken...Sorry to say that but does rilisoft really care about it...Seriously... I only redownload it because I wanted to revisit and see if there was any improvement and sadly there isn't. first of all...Fix all the hackers in the game or else we can't play well. Second of all make the difference between weapon damage per minute similar because even if he's a hacker, you can at least compete with the guy. third of all, the purchases are too expensive so plz make them less expensive. Lastly, plz stop adding features and start fixing bugs because the more weapons you add the more the gap between low level players and high level players are. So change all this or else in the near future you'll be losing more and more players, and it won't be my fault, it's YOURS! That's all for the lil review, if you saw this rilisoft, Thank you very much. But I'm giving this game ONE STAR :( THIS GAME ISN'T WORTH YOUR TIME. (Pff...You game is officially dead unless you fix your game right NOW!)",-1,0,This game is broken Sorry to say that but doe rilisoft really care about it Seriously I only redownload it because I wanted to revisit and see if there wa any improvement and sadly there isn t first of all Fix all the hacker in the game or else we can t play well Second of all make the difference between weapon damage per minute similar because even if he s a hacker you can at least compete with the guy third of all the purchase are too expensive so plz make them le expensive Lastly plz stop adding feature and start fixing bug because the more weapon you add the more the gap between low level player and high level player are So change all this or else in the near future you ll be losing more and more player and it won t be my fault it s YOURS That s all for the lil review if you saw this rilisoft Thank you very much But I m giving this game ONE STAR THIS GAME ISN T WORTH YOUR TIME Pff You game is officially dead unless you fix your game right NOW 
52209,I liked it but rilisoft need to add efeects when kill a person for LG phone plz,-1,2,I liked it but rilisoft need to add efeects when kill a person for LG phone plz 
14519,Get rid of the hackers and I'll give 5 stars,-1,0,Get rid of the hacker and I ll give 5 star 
40913,Just add auto rotating camera,-1,0,Just add auto rotating camera 
60602,Bring back all maps and and i dont like the new features for amory,-1,2,Bring back all map and and i dont like the new feature for amory 
22826,You need to add  a New  zombie  livl,-1,0,You need to add a New zombie livl 
50834,well I thinck you should do some work on it a LOT more like the mine game and stuff but after all it's relie good I love it,-1,0,well I thinck you should do some work on it a LOT more like the mine game and stuff but after all it s relie good I love it 
39308,Liverpool is better than pixel gun,-1,0,Liverpool is better than pixel gun 
53153,It's ok but you need to lower the prices.,-1,0,It s ok but you need to lower the price 
39813,Good luck with your new job going to be lucky,-1,0,Good luck with your new job going to be lucky 
38027,i like the game but  the guns they cost alot,-1,0,i like the game but the gun they cost alot 
52083,"alright now i like pixel gun it has cool guns it has cool side wepons but, if i get banned one more time i will onisly ugh i will report every thing that i hate to pixel gun and probably get the game deleted off the app store lol",-1,0,alright now i like pixel gun it ha cool gun it ha cool side wepons but if i get banned one more time i will onisly ugh i will report every thing that i hate to pixel gun and probably get the game deleted off the app store lol 
16747,Plz let me play without updating I don't have storage,-1,0,Plz let me play without updating I don t have storage 
